Observation,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,Energy
1165,21.62222222,37.59444444,19.90375,37.45,20.79,37.5,20.7,34.94285714,17.89,45.2,5.095,59.477,19.82333333,29.08333333,22.29,37.32666667,18.6,41.09,4.68,750.0166667,77.83333333,2.833333333,40,1.13,80
1166,22.73,32.5,20.7,32.73,21.66666667,33.66333333,22.39,33.46666667,18.79,39.95,9.8,17.22333333,22.5,23.5,23.89,33.52666667,20.06666667,35.66333333,9.13,764.2,56.16666667,3.666666667,22.66666667,0.75,100
1167,21.76,35.2,18.16666667,39.62666667,21.53333333,35.9,21.39,33.09,18.6,55.86333333,1.29,70.83333333,20.42666667,28.23,22.39,40.59,19.82333333,38.4,0.267,763.1,95,1,20.33333333,-0.467,50
1168,21.29,39.2,19.62666667,42.53333333,22.5,36.36333333,22.1,37,20.13333333,44.4,7.233333333,59.69333333,20.6,31.2,21.79,38.23,21.63333333,36.32666667,5.9,761.5,85,3,40,3.6,60
1169,24.6,38.36333333,24,36.645,24.7,37.245,24.05,37.145,21.39,54.66,15.92,4.62,23.39,34.5,24.79,40.92666667,21.6,39.7,19,752.3833333,49.5,2.166666667,25,8.2,80
1170,23.16666667,35.23,22.80428571,33.78,24,34.356,23.66666667,33.96666667,23.2,37.5,13.7,1,23.6,28.53333333,25,35.63333333,23,34.04,10.4,762.1,59,4.666666667,40,2.73,110
1171,22.32333333,43.06333333,21.92666667,41.4,25.32333333,40.53,21.71285714,40,20.82333333,47.36666667,12.66,20.89333333,21.29,35.054,23.29,43.03,21.1,43.545,9.63,746.9666667,72.66666667,5.666666667,40,4.93,100
1172,25.13333333,32.73333333,24.36142857,30.02857143,24.89,34.73,24.89,31.16,23.79,42.914,13.6,1,24.5,29.03,26.2,34.75714286,23.22571429,31.77142857,11.8,757.4,50.33333333,6.833333333,28.16666667,1.6,100
1173,21.73,47.86333333,20.82333333,46.16333333,22.39,45.03,21,48.26,19.58888889,56.42222222,9.066666667,99.9,18.71,45.2,20.31222222,52.32055556,18.29,51.09,8.8,757.2666667,97,6,49,8.3,60
1174,21.32333333,41.2,18.5,45.56,22.79,38.32666667,21.93,38.96666667,20.39,45.43333333,5.496666667,60.5,20.5,33.82666667,22.2,41.06,20.29,41.6,2.2,754.3,100,1,8,2.2,70
1175,19.39,46.32666667,18.65,46.3,19.82333333,45.23,18.29,47.7,17.45722222,54.35722222,9.8,99.29,17.7,45,17.66111111,50.96111111,17.1,48.79,9.87,755,91.66666667,8.666666667,63.66666667,8.5,50
1176,25.1,39.65666667,27.92666667,31.89,26.1,38.5,25.1,37.79,23.16666667,43.3,27.67142857,1,23.89,36.76666667,24.5,39.58,23.1,42.09,24.6,751.8,42,4,40,10.9,60
1177,24.57181818,51.29363636,23.88468468,49.8893994,27.09636364,45.28181818,23.88018018,47.99990991,22.7981982,53.44855856,20.60036036,33.77833333,23.73423423,45.06846847,24.60272727,52.70909091,23.22090909,49.58181818,14.7,750,93,4,40,13.5,60
1178,23,41.32666667,21.2,42.53,23,39.5,20.1,41.4,20.76,50.82666667,12.89,30.36666667,20.79,38.9,24.1,45.2,19.89,41.79,12.6,746.85,64.83333333,8,43.83333333,5.92,60
1179,19.2,34.9,18.96333333,33.59,19.72666667,36.6,18.89,32.93333333,17.2,51.3,3.663333333,42.02666667,19.29,28.86,20,36.13333333,18.2,39.73,3.83,762.8166667,57.83333333,7,37.83333333,-3.73,320
1180,22.29,37.2,20.1,39.23,23.5,37.82666667,22.7,35,20.39,43.36333333,9.533333333,16.79666667,21.93714286,36.5,22.39,43.5,20.35666667,40.29,9.58,759.7666667,69,4.166666667,30.83333333,4.08,60
1181,21.39,39.06,20,38.96333333,21,38,20.96666667,39.19333333,18.56666667,53.1,2.2,69.16666667,19.76,29.13333333,22.1,38.43,18.13333333,39.73,1,765.55,85.5,2.833333333,40,-1.22,290
1182,22.29,35.5,19.13333333,38.56,23.39,34.79,22,32.09,21,49.5,0.666666667,33.53333333,21.6,31.098,23.85666667,41.03,20.5,37.02666667,2.03,759.1,83.83333333,2,40,-0.483,50
1183,22.2,34.0475,20.82333333,33.02666667,24.23,34.59666667,21,33.5,18.2,44.2,7.763333333,21.6,23.1,24.39,22.5,29.82333333,19.7,37.7,7.37,766.6333333,58.33333333,4.666666667,25,-0.333,210
1184,22.5,33.93333333,21.39,33.2,21.5,34.7,21.89,32.29,18.53333333,41.26,9.963333333,17.26,21.66666667,25,23.16666667,31.63333333,20,37.26,9.6,765.4,53,5,22,0.5,60
1185,21.5,41.59,18.7,46.12666667,20.79,38.79,21,37.245,18.79,47.2,4.126666667,63.66333333,20.7,29.6,22.92666667,40.16333333,19.6,38.43333333,4.4,764.5333333,90.5,3,59.33333333,2.92,70
1186,20.73,38.4,19,39.9975,21.89,35.4,21.14,36.5,19.89,40.9,8.6,59.86333333,20.89,33.29,22.2,37.73,19.73,36.56,7.02,749.8666667,93.33333333,4.333333333,59.16666667,6,50
1187,20.89,36.7,18.29,39.7,21.2,36.06,19.6,34.5,18.29,44.9,7.03,43.82666667,19.29,30.16666667,21.6,40.26,19.5,37.93333333,5.65,762.7166667,78.66666667,3.166666667,56,2.12,230
1188,20.29,38.09666667,18.2,39.62666667,20.7,39.73,19.89,36.7,18,51.59,-0.666666667,83.83333333,19.5,37.88,21.1,43.43333333,18.1,41.9,-0.6,755.9666667,95.66666667,1.666666667,62.33333333,-1.23,60
1189,21.39,44.29,21.29,42.86,22.1,39.96666667,20.89,38.66333333,20.1,56.245,14.645,12.995,21.22571429,36.32142857,22.434,40.29,20.7,42.53,10.1,754.6,69,2,29,4.7,190
1190,21.39,43.09,21.1,41.59,20.79,42.26,19.5,45.79,20.29611111,81.82111111,4.69,93.09,20.31777778,39.81055556,23.48166667,46.20722222,18.85666667,42,4.65,746.95,94.5,3,22.5,3.8,70
1191,22.39,45.16333333,21.7,43.425,22.5,45.32666667,20.2,47.79,18.7,56.19777778,9.16,88.96333333,18.6,43.26,21,53.34222222,18.7,49.2,9.2,757.5666667,85.66666667,5.333333333,40,6.87,40
1192,22.13333333,36.16333333,23.53333333,31.42666667,22.2,36.86333333,22.79,33.99857143,19.7,41.9,14.06666667,1,20.92142857,28.19714286,21.56666667,35.65666667,20.23,36.79,12.4,767.1666667,54.83333333,6,26.5,3.53,60
1193,25.1,38.36333333,27.1,32,26.2,38.2,25.1,37.09,23.39,38.76666667,27.89571429,1,23.934,34.96,24.72571429,37.09,23.1,40.79,25.1,751.5666667,33.66666667,4,40,7.9,50
1194,21.7,37.5,19,40.09,22.2,37.29,21.03333333,36.5,19.2,47.76,4.823333333,52.22666667,19.79,37.26,22,43.86,19.29,40.46666667,4.3,758.6333333,91,1.333333333,62.66666667,2.97,60
1195,18.63333333,42.03,18,41.5,18.2,43.66333333,15.83,47.03,15.39,51,5.69,99.9,15.6,39.97222222,19.15,51.7,15.19,47.26,5.3,769.2333333,92,4,23.33333333,4.1,40
1196,19.39,38.29,16.23,42.5,20.03333333,37.15666667,19.49666667,36.76666667,17.82333333,48.72666667,4.73,54.43333333,18.26,33.1,19.5,40.13333333,17.625,40.3925,4.5,745.2833333,67.5,8,40,-1.02,200
1197,19.39,38.29,16.46333333,42.99,20,37.09,19.39,35.49,17.6,47.59666667,5.726666667,49.36,18.1,31.56666667,19.29,38.73,17.7,39.65666667,5.3,744.6,63,8.666666667,40,-1.23,370
1198,20.89,36.79,20,36.46666667,21.79,35.09,20.76,34.73,19.35666667,43.79,6.5,49.46666667,20.29,30.5,21.6,37.96666667,19.6,35,4.7,748.4,80.66666667,4,40,1.6,30
1199,21.1,36.16333333,20.1,35.32666667,20.6,36.4,21.6,33.43333333,17.7,45.2,10.66666667,20.73333333,20.7,29,21.29,35.06,18.1,40.53,9.82,759.3666667,54.16666667,1.833333333,22,0.883,70
1200,21.2,35.93,19.2,37.46666667,22.26,34.4,20.89,35.12666667,18.5,43.5,9.5,23.16333333,19.26,28.96333333,22.7,36.7,19.39,35.2,7.1,762.1,68,3,29,1.6,100
1201,22.1,41.4,19.42666667,44.4,24.39,39.7,22.5,38,20.89,53.22571429,5.53,50.99,21.39,34.7,23.04285714,45.73857143,20.96333333,43.2,7.1,751.2,86.33333333,1.666666667,40,4.9,60
1202,24.5,38.32666667,23.42666667,37.12666667,24.63333333,37.5,24,36.79,21.29,51.7,13.854,11.354,23.2,34.4,24.6,42.23,21.6,40,16.2,752.5,59.16666667,1,40,8.17,50
1203,20.7,36,21.53333333,33.83333333,21.5,34.7,20.7,36.4,18.7,47.49,9.063333333,41.1,19.1,29.39,21,37,19.1,34.43333333,5.63,756.3,79.66666667,2,36.33333333,2.43,60
1204,19.1,41.96333333,18.46333333,41.16333333,19.29,43,19.16666667,41.7,17.5,51.22333333,7,62.19333333,17.39,38.2,17.79,45.73,16.89,42.32666667,5.97,757.6666667,75.66666667,5,28.33333333,1.9,20
1205,21.39,38.23,20.46333333,37.59,20.7,41.36333333,21,39.73,19.2,53.06,2.363333333,95.93333333,20.06666667,36.5,20.16666667,42.72333333,18,41.86333333,1.9,764.5,84.66666667,4.333333333,40,-0.467,380
1206,22.6,39.36333333,19.6,44.09,23.39,39.5,19.79,40.79,20.1,50.7,6.59,71.5,21,40.4,23.1,48.43333333,20,43.79,6.58,749.3,96.33333333,4.666666667,30.83333333,6.03,50
1207,20.6,36.22333333,17.06666667,40.56,22,36,20,32.83333333,18.39,45.09,-1.666666667,55.86,19.66666667,27.76,22,40.06,19.6,39.4,-0.35,766.35,87.66666667,1.166666667,62.66666667,-2.23,60
1208,21.5,38.5,18.76,41,22.29,37.7,21.6,35.4,20.1,49.66333333,4.263333333,42.76666667,20.5,31.42142857,22,43.4,19.92666667,40,5.03,767.5,84.66666667,3.666666667,40,2.7,60
1209,22.39,37.8725,21.86777778,37.15111111,21.2,39.73,20.21728395,40.84530864,20.17777778,42.04,3.2,94.8,17.72,36.515,18.29,42.81055556,17.5,42.43333333,2.12,756.5333333,94.33333333,7,54.33333333,1.27,60
1210,24,47.79,21.7,50.9,25.6,42.79,23.5,46,22.89,50.9,11.63,52.93333333,23.39,41.156,24.85666667,48.43,23.29,50.02571429,11.1,754,96,2,46,10.5,60
1211,22.13333333,43.03,20.9725,42.2,21.7,44.4,21.5,40.66333333,19,54.36944444,5.56,86.09333333,18.89,34.92777778,21.6,43.745,18.6,45.96666667,5.1,761.2,80,6,40,1.9,180
1212,21.29,38.895,18.2,42.86,22.29,38.26666667,19.79,38.59,19.6,48.4,2.7,66.09,20.1,33.59,23.1,44.09,20.2,43.29,2.2,759.8666667,96.33333333,1,40.66666667,1.63,80
1213,23.1,34.59,21.23,34.36333333,23.03333333,36.09,22.7,33.79,21.56666667,55.03333333,6.563333333,8.466666667,21.6,30.698,24.29,38.65,20.29,35.52857143,9.15,765.65,63,1.5,40,2.4,60
1214,22.625,43.525,22.5,40.83333333,25.89,39.5,21.7,42.29,20.79,47.56666667,17.295,12.29,21.63333333,36.59,24.13333333,43.29,20.7,44.76,14.9,749.7166667,60.16666667,7,40,7.05,110
1215,20.79,41.495,17.92666667,45.86,22.76,38.76,20.1,38.29,20.2,46.5,5.43,59.69333333,21.236,37.874,22.5,42.26,20.5,43.36333333,4.62,750.8333333,89.66666667,2,21.83333333,3.02,50
1216,22.96333333,43.12666667,22.29,42.53,21.7,44.96666667,19.2,44.245,19.39,66.035,10.19,63.42333333,18.79,39.79,22.29,50.08944444,19,47.79,10.7,742.75,66,9.5,40,4.5,80
1217,23.7,41.2,22.27714286,40.83714286,24.39,38.56714286,23.5,38.93333333,21.39,57.76428571,12.934,20.39,23.2,40.46,24.2,43.63333333,22.6,41.856,11.6,756.2833333,84.16666667,2,26,8.93,60
1218,24.68545455,49.54590909,24.31261261,47.26402402,26.84409091,43.89545455,23.99279279,46.9436036,22.92207207,52.61015766,22.32558559,22.23666667,23.88063063,43.92376126,24.42318182,51.27727273,23.17772727,48.44545455,17.3,751.4166667,83.16666667,2,40,14.5,60
1219,24.1,44.73,21.7,46.79,25.89,42.2,23.7,42.7,23.2,51.72571429,10.6,37.33333333,23.31857143,38.2,24.5,46.79,23,47.59,10.3,759.6666667,85.33333333,3,30.66666667,7.93,50
1220,22.79,44.86333333,20.5,45,24.5,40,21.79,39.59,20.89,47.62666667,8.13,39.86333333,21.2,33.09,24.5,41.82666667,21,39.79,8,748.8,83,3,40,5.3,100
1221,22.865,38.3725,19.46333333,42.2,23.35666667,37.5,20.63333333,40.56666667,19.7,47.4,1.863333333,67.22166667,20.82333333,35.96,23.02777778,43.60444444,19.79,40.66333333,1.9,759,94,1,23.5,1,50
1222,21.46333333,46.06,20.96333333,45.03,21.29,45.12666667,19.5,47.96666667,19.85111111,52.88333333,11.5,79.69,19.18888889,46.63,20.1,51.345,17.79,50.93333333,11.2,760.2,76,8,24,7,70
1223,22.46333333,39.82666667,21.82333333,39.66333333,22.6,38.5,21.2,39.29,20,45.66333333,11.5,35.19666667,21.2,34.53,23.2,40.66333333,20.39,42.9,10.6,741.0666667,65.66666667,10,40,4.4,100
1224,22.1,42.86333333,20.7,43.83333333,23.6,38.245,21.2,41.86333333,20.29,44.76333333,14.32333333,24.59666667,21.39,38.09,23.1,41.73,20.89,43.13333333,11.1,750.4333333,81.33333333,4.333333333,36.33333333,7.97,130
1225,19.03333333,44.03,18.30764706,43.9,19.79,45,18.63333333,44.2,17.2,52.43333333,5.833333333,80.99,18,44.66944444,18.7,54.14923077,17.1,49.79,5.4,751.2,89,8,24,3.7,50
1226,24.7,49,22.6,50.59,26,45.29,23.92666667,46.76,23,52.754,11.5,52.36333333,23.6,43.116,26.25142857,49.22571429,23.1,49.25142857,11.8,751.6,96,5,23,11.1,60
1227,21.92666667,39.29666667,20.16666667,38.49,21.92666667,36.36,21.29,36.56666667,19.2,41.86,8.8,30.1,19.29,32.26666667,21.63333333,37.15666667,19.29,36.06,7.73,759.9333333,75,1.666666667,35.33333333,3.5,130
1228,21.03333333,40.13333333,21,39.46,22.1,37.93333333,20.5,38.53,20,46.46,14.53,9.733333333,21.1,34.29,22.6,39.56333333,20.46333333,39.52666667,10.7,750.25,66,5.5,27,4.5,80
1229,25.2,32.7,27.2,27.776,25,36.2,24.13,34.775,21.7,48.52666667,25.55714286,1,23.39,31.67142857,24.39,36.43,22.29,38.7,23.8,752.1333333,28.33333333,5.666666667,40,4.4,70
1230,22,37.3,20.6,36.59,22.1,35.79,21.29,34.59,19.2,44.46666667,10.03,25.95666667,19.6,31.79,22.89,38.09,19.79,39.29,8.93,756.0666667,71.83333333,4.166666667,29.16666667,3.97,620
1231,24.79,38.73,22.1,41.054,24.7,33.15666667,25,38.35285714,23.89,48.06,9.3,21.03,24.7,35.7,25.7,41.2,23.89,45.53857143,8.9,754.3,77,4,25,5,60
1232,21.29,43.09,20.79,42.5,20.56666667,44.5,21.13333333,44.76666667,17.91444444,51.055,10.36666667,97.76666667,17.79,42.15722222,18.7,47.88777778,17,47.43333333,10.3,764.1,84,4,27,7.7,250
1233,21.6,35.2,18.53333333,38.36333333,22.53333333,34.5,21.11428571,32.48571429,20.35666667,42,1.566666667,49.66666667,21.79,32.62142857,24.6,37.76666667,20.2,35.66333333,2.13,758.1666667,90.66666667,2.333333333,40,0.7,80
1234,21.2,37.32666667,19,39.29,22.96333333,37.56,19.6,33.79,18.39,44.4,9.66,27.69333333,19.2,29.5,22,36.56,19.5,36.5,6.43,762.5666667,71.33333333,4,27,1.6,310
1235,20.89,42.36,20.2,40.9,21.79,40.99,18.59666667,41.45666667,19,51.32666667,3.333333333,92.4,19.66666667,40.09611111,21.89,48.14944444,19.1,45.63333333,3.43,740.1,94,6,40,2.53,100
